2.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
2.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
3.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
4.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
5.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
6.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
7.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
8.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
9.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
10.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
11.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
12.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
1.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
2.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
3.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
4.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
5.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
6.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
7.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
8.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
9.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
10.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
11.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
12.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
1.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2006.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2007.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
2.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
3.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
4.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
5.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
6.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
7.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
8.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
9.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
10.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
11.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
12.0,2008.0, W, G,228380.0,0.0,0.0,0.0,0.0
1.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2009.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
2.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
3.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
4.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
5.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
6.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
7.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
8.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
9.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
10.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
11.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
12.0,2010.0, W, G,228380.0,0.0,0.0,0.0,0.0
1.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2011.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2012.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2013.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
2.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
3.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
4.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
5.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
6.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
7.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
8.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
9.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
10.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
11.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
12.0,2014.0, G, W, X,0.0,0.0,0.0,0.0
1.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2015.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
2.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
3.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
4.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
5.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
6.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
7.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
8.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
9.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
10.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
11.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
12.0,2016.0, W, X, Y,0.0,0.0,0.0,0.0
1.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2003.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
2.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
3.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
4.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
5.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
6.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
7.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
8.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
9.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
10.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
11.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
12.0,2004.0, X, G,228380.0,0.0,0.0,0.0,0.0
1.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
2.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
3.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
4.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
5.0,2005.0, W, G,228380.0,0.0,0.0,0.0,0.0
